Episode Number,Car x Coordinates,Car y Coordinates,Action,Exploration Rate,Reward,Score
1,70.23596954,-17.43565369,1,1,6.151612903,6.151612903
1,70.2285614,-17.38295364,0,1,-0.3,5.851612903
1,70.20812988,-17.2371006,3,1,2.925806452,8.777419355
1,70.18927765,-17.09028435,2,1,-0.3,8.477419355
1,70.16982269,-16.9435215,3,1,-0.3,8.177419355
1,70.15935516,-16.85931969,4,1,-0.3,7.877419355
1,70.15921021,-16.85827446,4,1,-0.3,7.577419355
1,70.15921021,-16.85827255,3,1,-0.3,7.277419355
1,70.15201569,-16.80554199,0,1,-0.3,6.977419355
1,70.13860321,-16.70695305,4,1,-0.3,6.677419355
1,70.13812256,-16.70343399,2,1,-0.3,6.377419355
1,70.13076782,-16.64948654,0,1,-0.3,6.077419355
1,70.11074829,-16.50265312,2,1,-0.3,5.777419355
1,70.08860779,-16.34020805,0,1,-0.3,5.477419355
1,70.05927277,-16.12866211,1,1,2.925806452,8.403225806
1,70.02398682,-15.91797352,1,1,-0.3,8.103225806
1,69.97792053,-15.71156216,1,1,-0.3,7.803225806
1,69.92253113,-15.50952435,1,1,-0.3,7.503225806
1,69.85699463,-15.29770756,0,1,-0.3,7.203225806
1,69.77628326,-15.04327297,3,1,2.925806452,10.12903226
1,69.69528961,-14.7749567,0,1,-0.3,9.829032258
1,69.60440826,-14.43747044,0,1,-0.3,9.529032258
1,69.49616241,-14.03185272,2,1,2.925806452,12.45483871
1,69.38473511,-13.62639904,1,1,-0.3,12.15483871
1,69.25483704,-13.22746849,3,1,2.925806452,15.08064516
1,69.13121033,-12.82583523,2,1,-0.3,14.78064516
1,69.0091629,-12.42363644,2,1,-0.3,14.48064516
1,68.88358307,-12.01360607,0,1,3.510967742,17.9916129
1,68.74085999,-11.55134773,0,1,-0.3,17.6916129
1,68.57952881,-11.03227329,2,1,2.925806452,20.61741935
1,68.42047119,-10.51192856,3,1,-0.3,20.31741935
1,68.28949738,-9.978284836,0,1,3.510967742,23.8283871
1,68.13654327,-9.402956009,0,1,-0.3,23.5283871
1,67.97015381,-8.778614044,3,1,2.925806452,26.45419355
1,67.84086609,-8.140802383,0,1,-0.3,26.15419355
1,67.71800995,-7.569935322,4,1,2.925806452,29.08
1,67.62958527,-7.181727409,1,1,-0.3,28.78
1,67.52178192,-6.792485237,0,1,3.510967742,32.29096774
1,67.40943146,-6.346628189,0,1,-0.3,31.99096774
1,67.30558777,-5.92232132,4,1,2.925806452,34.91677419
1,67.24421692,-5.671276093,0,1,-0.3,34.61677419
