Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,0.042839732486754656,1
1,0.035634056,0.030756354,-0.005168218,-0.020587917,0,1.0,-0.40640593506395817,2
1,0.036249183,-0.1642911,-0.0055799764,0.27045992,0,1.0,-0.04117581993341446,3
1,0.032963358,-0.35933298,-0.00017077847,0.56137764,0,1.0,0.5409197881817818,4
1,0.0257767,-0.55445254,0.011056775,0.85400677,0,1.0,-1.0885996744036674,5
1,0.014687649,-0.359483,0.02813691,0.564821,1,1.0,-1.7080135643482208,6
1,0.0074979886,-0.5549882,0.03943333,0.8662339,0,1.0,-1.129641942679882,7
1,-0.0036017753,-0.750624,0.05675801,1.1710498,0,1.0,-1.7324678599834442,8
1,-0.018614255,-0.5562841,0.080179006,0.8966874,1,1.0,-2.3420996963977814,9
1,-0.029739939,-0.36233535,0.098112755,0.6302462,1,1.0,-1.7933748662471771,10
1,-0.036986645,-0.5586796,0.11071768,0.95214504,0,1.0,-1.260492205619812,11
1,-0.048160236,-0.75510323,0.12976058,1.277461,0,1.0,-1.9042901694774628,12
1,-0.0632623,-0.95161855,0.1553098,1.6077985,0,1.0,-2.554921805858612,13
1,-0.08229467,-1.148198,0.18746577,1.9445962,0,1.0,-3.2155975699424744,14
1,-0.10525863,-1.3447587,0.22635768,2.2890644,0,1.0,-3.889191150665283,15
2,0.031116175,-0.16434982,0.0011041588,0.27174622,0,1.0,0.042839732486754656,1
2,0.027829178,0.030756362,0.006539083,-0.020588256,1,1.0,-0.5434924270957708,2
2,0.028444305,0.22578393,0.006127318,-0.3112009,1,1.0,0.04117651842534542,3
2,0.032959983,0.03057522,-9.669957e-05,-0.016591888,0,1.0,0.6030618213117123,4
2,0.03357149,0.22569856,-0.00042853734,-0.3093053,1,1.0,-0.03318377712275833,5
2,0.03808546,0.030582715,-0.0066146436,-0.016757576,0,1.0,-0.6186106242239475,6
2,0.038697112,-0.16444376,-0.0069497954,0.27383104,0,1.0,-0.03351517952978611,7
2,0.03540824,0.030776666,-0.0014731747,-0.021035748,1,1.0,0.5476620979607105,8
2,0.036023773,0.22591971,-0.0018938896,-0.31418312,1,1.0,-0.04207149613648653,9
2,0.040542167,0.030824792,-0.008177551,-0.022098059,0,1.0,-0.6283661816269159,10
2,0.04115866,0.22606306,-0.008619513,-0.31734985,1,1.0,-0.04419619217514992,11
2,0.045679923,0.03106493,-0.01496651,-0.027397618,0,1.0,-0.6346996873617172,12
2,0.04630122,-0.16383924,-0.015514462,0.26052588,0,1.0,-0.05479520186781883,13
2,0.043024436,-0.3587363,-0.010303944,0.54827523,0,1.0,0.5210517905652523,14
2,0.03584971,-0.553712,0.00066156074,0.837694,0,1.0,0.9642384015023708,15
2,0.02477547,-0.748843,0.01741544,1.1305848,0,1.0,-1.6753878444433212,16
2,0.009798611,-0.55395335,0.040027138,0.84341466,1,1.0,-2.2611698135733604,17
2,-0.0012804565,-0.35939986,0.05689543,0.563583,1,0.999,-1.6868293285369873,18
