Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.042839732486754656,()
1,0.035634056,0.4210002,-0.005168218,-0.60595334,1,-0.40640593506395817,()
1,0.044054057,0.22595093,-0.017287286,-0.31490275,0,-1.2119067832827568,()
1,0.048573077,0.031079432,-0.02358534,-0.02772142,0,-0.629805400967598,()
1,0.049194667,0.22653154,-0.02413977,-0.3277515,1,-0.0554429367184639,()
1,0.053725295,0.4219887,-0.0306948,-0.6279482,1,-0.655503012239933,()
1,0.06216507,0.6175253,-0.043253765,-0.9301378,1,-1.2558965012431145,()
1,0.07451557,0.423013,-0.06185652,-0.6513549,0,-1.8602754920721054,()
1,0.082975835,0.61893946,-0.07488362,-0.9628567,1,-1.3027098029851913,()
1,0.095354624,0.81498337,-0.09414075,-1.2780937,1,-1.9257135689258575,()
1,0.11165429,0.62117904,-0.11970262,-1.016311,0,-2.5561869144439697,()
1,0.12407787,0.817676,-0.14002885,-1.3440559,1,-2.0326226949691772,()
1,0.14043139,1.0142539,-0.16690996,-1.6770705,1,-2.688111364841461,()
1,0.16071647,1.2108723,-0.20045137,-2.0167437,1,-3.354141116142273,()
2,-0.04484019,0.18358888,-0.010062129,-0.34102905,1,-0.09094495326280594,()
2,-0.041168414,0.37885255,-0.01688271,-0.63686794,1,-0.6820580922067165,()
2,-0.033591364,0.5742058,-0.029620068,-0.93481934,1,-1.273735798895359,()
2,-0.022107247,0.76971453,-0.048316456,-1.2366608,1,-1.8696388229727745,()
2,-0.0067129573,0.96542287,-0.07304967,-1.5440803,1,-2.473321557044983,()
2,0.0125955,0.7712507,-0.10393128,-1.2750564,0,-3.08816060423851,()
2,0.028020514,0.96753335,-0.12943241,-1.5983924,1,-2.5501132011413574,()
2,0.047371183,1.1639298,-0.16140024,-1.9284698,1,-3.1967833638191223,()
2,0.07064978,1.3603722,-0.19996965,-2.2665496,1,-3.8569405674934387,()
3,-0.044125877,-0.1454195,0.014705932,0.27090216,0,0.053097959607839584,()
3,-0.047034267,0.04948955,0.020123975,-0.017106418,1,-0.5418043583631516,()
3,-0.046044476,0.2443172,0.019781847,-0.30337268,1,0.034212879836559296,()
3,-0.041158132,0.43915173,0.013714393,-0.5897518,1,0.6067453883588314,()
3,-0.032375097,0.24384046,0.0019193566,-0.29278055,0,1.1795036494731903,()
3,-0.027498288,0.43893498,-0.003936254,-0.5848575,1,-0.2016897313296795,()
3,-0.018719587,0.2438684,-0.015633404,-0.29341716,0,-1.1697150766849518,()
3,-0.01384222,0.4392097,-0.021501748,-0.59098935,1,-0.5868343636393547,()
3,-0.005058026,0.2443953,-0.033321533,-0.3051563,0,-1.1819785460829735,()
3,-0.00017012002,0.43997586,-0.03942466,-0.608159,1,-0.610312819480896,()
3,0.0086293975,0.24542663,-0.05158784,-0.32814977,0,-1.2163177132606506,()
3,0.013537929,0.0510756,-0.058150835,-0.05217116,0,-0.6562996655702591,()
