Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
1,0.009053563,0.18503702,0.024731373,-0.32187495,1,1.0,1
1,0.012754303,-0.010428228,0.018293874,-0.02149646,0,1.0,2
1,0.012545739,-0.20580769,0.017863944,0.27690178,0,1.0,3
1,0.008429585,-0.010945093,0.023401981,-0.010093745,1,1.0,4
1,0.008210683,-0.2063947,0.023200106,0.28987995,0,1.0,5
1,0.004082789,-0.40183967,0.028997704,0.58978873,0,1.0,6
1,-0.003954004,-0.20713548,0.04079348,0.30637935,1,1.0,7
1,-0.008096714,-0.40281427,0.046921067,0.6116433,0,1.0,8
1,-0.016153,-0.59855956,0.059153933,0.91872776,0,1.0,9
1,-0.02812419,-0.79442906,0.07752849,1.2293993,0,1.0,10
1,-0.04401277,-0.60038555,0.10211647,0.96197885,1,1.0,11
1,-0.056020483,-0.7967205,0.121356055,1.2849172,0,1.0,12
1,-0.07195489,-0.6033343,0.14705439,1.0325625,1,1.0,13
1,-0.084021576,-0.41044167,0.16770564,0.7894248,1,1.0,14
1,-0.09223041,-0.21797092,0.18349414,0.55384374,1,1.0,15
1,-0.09658983,-0.025835337,0.19457102,0.32412374,1,1.0,16
1,-0.09710654,0.166061,0.20105349,0.0985543,1,1.0,17
1,-0.093785316,0.35781896,0.20302458,-0.124576375,1,1.0,18
1,-0.086628936,0.16045485,0.20053305,0.22466935,0,1.0,19
1,-0.08341984,-0.036883824,0.20502643,0.5733079,0,1.0,20
2,0.03971699,-0.18626751,0.0019327619,0.30489898,0,1.0,1
2,0.03599164,0.008826843,0.0080307415,0.012826216,1,1.0,2
2,0.036168177,0.2038327,0.008287266,-0.27731213,1,1.0,3
2,0.040244833,0.39883545,0.002741023,-0.56736976,1,1.0,4
2,0.04822154,0.20367517,-0.008606372,-0.27382457,0,1.0,5
2,0.052295044,0.39891884,-0.014082865,-0.5692095,1,1.0,6
2,0.06027342,0.20399721,-0.025467055,-0.2809963,0,1.0,7
2,0.06435336,0.399473,-0.03108698,-0.5816014,1,1.0,8
2,0.07234283,0.2048001,-0.042719007,-0.29887122,0,1.0,9
2,0.07643883,0.4005041,-0.048696432,-0.604715,1,1.0,10
2,0.08444891,0.59627205,-0.060790733,-0.91232985,1,1.0,11
2,0.09637435,0.4020229,-0.07903733,-0.63935584,0,1.0,12
2,0.104414806,0.5981527,-0.09182445,-0.95584494,1,1.0,13
2,0.11637786,0.40437773,-0.11094134,-0.69336545,0,1.0,14
2,0.12446542,0.21095538,-0.124808654,-0.43756548,0,1.0,15
2,0.12868452,0.017800596,-0.13355996,-0.18668553,0,1.0,16
2,0.12904054,0.21455547,-0.13729368,-0.51833946,1,1.0,17
2,0.13333164,0.41131622,-0.14766046,-0.85094094,1,1.0,18
2,0.14155798,0.21848276,-0.16467929,-0.60809296,0,1.0,19
