Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,1.0,1
1,0.035634056,0.4210002,-0.005168218,-0.60595334,1,1.0,1.0,2
1,0.044054057,0.22595093,-0.017287286,-0.31490275,0,1.0,1.0,3
1,0.048573077,0.4213148,-0.02358534,-0.612987,1,1.0,1.0,4
1,0.056999374,0.22653025,-0.035845082,-0.3278249,0,1.0,1.0,5
1,0.06152998,0.031936463,-0.04240158,-0.04665791,0,1.0,1.0,6
1,0.062168706,-0.16255264,-0.043334737,0.2323512,0,1.0,1.0,7
1,0.058917657,-0.35702947,-0.038687713,0.5110561,0,1.0,1.0,8
1,0.051777065,-0.1613845,-0.02846659,0.20643693,1,1.0,1.0,9
1,0.048549376,0.03413272,-0.024337852,-0.09508811,1,1.0,1.0,10
1,0.049232032,-0.1606321,-0.026239613,0.189818,0,1.0,1.0,11
1,0.046019387,-0.35536903,-0.022443254,0.47410926,0,1.0,1.0,12
1,0.03891201,-0.55016696,-0.012961069,0.7596348,0,1.0,1.0,13
1,0.027908668,-0.74510795,0.0022316272,1.0482113,0,1.0,1.0,14
1,0.013006509,-0.94025946,0.023195853,1.3415939,0,1.0,1.0,15
1,-0.0057986793,-1.1356655,0.05002773,1.6414431,0,1.0,1.0,16
1,-0.02851199,-1.3313365,0.082856596,1.9492844,0,1.0,1.0,17
1,-0.05513872,-1.5272363,0.12184228,2.266458,0,1.0,1.0,18
1,-0.08568344,-1.3334448,0.16717145,2.013659,1,1.0,1.0,19
1,-0.11235234,-1.1404089,0.20744462,1.7770612,1,1.0,1.0,20
1,-0.13516052,-1.337176,0.24298584,2.1264362,0,1.0,1.0,21
2,0.031116175,-0.16434982,0.0011041588,0.27174622,0,1.0,1.0,1
2,0.027829178,-0.3594875,0.006539083,0.5647772,0,1.0,1.0,2
2,0.020639427,-0.5547006,0.017834626,0.85951304,0,1.0,1.0,3
2,0.009545416,-0.35982603,0.03502489,0.5724908,1,1.0,1.0,4
2,0.002348895,-0.16521224,0.046474703,0.29104435,1,1.0,1.0,5
2,-0.0009553501,0.029217279,0.05229559,0.013373615,1,1.0,1.0,6
2,-0.00037100457,-0.16661415,0.052563064,0.32208705,0,1.0,1.0,7
2,-0.0037032873,-0.36244366,0.059004802,0.6308721,0,1.0,1.0,8
2,-0.010952161,-0.16819249,0.071622245,0.35733974,1,1.0,1.0,9
2,-0.01431601,0.025842005,0.07876904,0.08807313,1,1.0,1.0,10
2,-0.013799171,-0.17031547,0.0805305,0.40453118,0,1.0,1.0,11
2,-0.01720548,0.02357757,0.088621125,0.13828455,1,0.999,1.0,12
2,-0.01673393,0.2173258,0.09138682,-0.1251768,1,0.998001,1.0,13
